sample	group	group2	treatment	timepoint_days	age	sex	animal_id	collection_date	species	specimen_source	specimen_type	specimen_fraction	isolation_method	filename
53	S18DOM115	S18DO	S18DOM	saline	18	old	Male	115	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_115_ms_t2
54	S18DOM117	S18DO	S18DOM	saline	18	old	Male	117	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_117_ms_t2
55	S18DOM118	S18DO	S18DOM	saline	18	old	Male	118	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_118_ms_t2
56	E2DYF74	E2DY	E2DYF	ecoli	2	young	Female	74	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_74_fe_t1
57	E2DYF75	E2DY	E2DYF	ecoli	2	young	Female	75	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_75_fe_t1
58	E2DYF76	E2DY	E2DYF	ecoli	2	young	Female	76	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_76_fe_t1
59	E2DYF77	E2DY	E2DYF	ecoli	2	young	Female	77	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_77_fe_t1
60	E2DYF79	E2DY	E2DYF	ecoli	2	young	Female	79	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_79_fe_t1
61	E2DYF80	E2DY	E2DYF	ecoli	2	young	Female	80	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_80_fe_t1
62	E2DYF81	E2DY	E2DYF	ecoli	2	young	Female	81	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_81_fe_t1
63	E2DYM26	E2DY	E2DYM	ecoli	2	young	Male	26	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_26_me_t1
64	E2DYM27	E2DY	E2DYM	ecoli	2	young	Male	27	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_27_me_t1
65	E2DYM28	E2DY	E2DYM	ecoli	2	young	Male	28	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_28_me_t1
66	E2DYM29	E2DY	E2DYM	ecoli	2	young	Male	29	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_29_me_t1
67	E2DYM31	E2DY	E2DYM	ecoli	2	young	Male	31	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_31_me_t1
68	E2DYM32	E2DY	E2DYM	ecoli	2	young	Male	32	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_32_me_t1
69	E2DYM33	E2DY	E2DYM	ecoli	2	young	Male	33	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_33_me_t1
70	E2DOF167	E2DO	E2DOF	ecoli	2	old	Female	167	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_167_fe_t1
71	E2DOF169	E2DO	E2DOF	ecoli	2	old	Female	169	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_169_fe_t1
72	E2DOF170	E2DO	E2DOF	ecoli	2	old	Female	170	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_170_fe_t1
73	E2DOF171	E2DO	E2DOF	ecoli	2	old	Female	171	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_171_fe_t1
74	E2DOF172	E2DO	E2DOF	ecoli	2	old	Female	172	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_172_fe_t1
75	E2DOF174	E2DO	E2DOF	ecoli	2	old	Female	174	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_174_fe_t1
76	E2DOF175	E2DO	E2DOF	ecoli	2	old	Female	175	10/24/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_175_fe_t1
77	E2DOM121	E2DO	E2DOM	ecoli	2	old	Male	121	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_121_me_t1
78	E2DOM122	E2DO	E2DOM	ecoli	2	old	Male	122	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_122_me_t1
79	E2DOM124	E2DO	E2DOM	ecoli	2	old	Male	124	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_124_me_t1
80	E2DOM125	E2DO	E2DOM	ecoli	2	old	Male	125	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_125_me_t1
