sample_name	organism	breed	age	collection_date	geo_loc_name	sex	tissue	animal_id	treatment	timepoint_days
E.2D.O.F.175	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	175	ecoli	2
E.2D.O.M.121	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	121	ecoli	2
E.2D.O.M.122	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	122	ecoli	2
E.2D.O.M.124	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	124	ecoli	2
E.2D.O.M.125	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	125	ecoli	2
E.2D.O.M.126	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	126	ecoli	2
E.2D.O.M.127	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	127	ecoli	2
E.2D.O.M.129	Mus musculus	C57BL/6	6 months	2024-10-24	USA: Arizona	Male	brain	129	ecoli	2
E.21D.Y.F.86	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	86	ecoli	21
E.21D.Y.F.87	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	87	ecoli	21
E.21D.Y.F.88	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	88	ecoli	21
E.21D.Y.F.89	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	89	ecoli	21
E.21D.Y.F.91	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	91	ecoli	21
E.21D.Y.F.92	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	92	ecoli	21
E.21D.Y.F.93	Mus musculus	C57BL/6	3 months	2024-11-12	USA: Arizona	Female	brain	93	ecoli	21
E.21D.Y.M.39	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	39	ecoli	21
E.21D.Y.M.40	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	40	ecoli	21
E.21D.Y.M.41	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	41	ecoli	21
E.21D.Y.M.43	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	43	ecoli	21
E.21D.Y.M.44	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	44	ecoli	21
E.21D.Y.M.45	Mus musculus	C57BL/6	3 months	2024-11-13	USA: Arizona	Male	brain	45	ecoli	21
E.21D.O.F.181	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	181	ecoli	21
E.21D.O.F.182	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	182	ecoli	21
E.21D.O.F.184	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	184	ecoli	21
E.21D.O.F.185	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	185	ecoli	21
E.21D.O.F.186	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	186	ecoli	21
E.21D.O.F.188	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	188	ecoli	21
E.21D.O.F.189	Mus musculus	C57BL/6	6 months	2024-11-12	USA: Arizona	Female	brain	189	ecoli	21
E.21D.O.M.131	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	131	ecoli	21
E.21D.O.M.132	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	132	ecoli	21
E.21D.O.M.135	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	135	ecoli	21
E.21D.O.M.136	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	136	ecoli	21
E.21D.O.M.137	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	137	ecoli	21
E.21D.O.M.140	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	140	ecoli	21
E.21D.O.M.141	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	141	ecoli	21
